,strategy,rate,iteration,total_correctness,avg_correctness
0,3,100,1,81794.19406588486,517.6847725688915
1,3,100,10,85798.59236684782,640.2880027376704
2,3,100,100,106348.00555380278,708.9867036920185
3,3,100,11,70837.6956011795,498.85701127591193
4,3,100,12,12231.754153906306,582.4644835193479
5,3,100,13,753545.6313423403,592.8761851631316
6,3,100,14,461827.4328923261,598.9979674349236
7,3,100,15,70837.6956011795,498.85701127591193
8,3,100,16,81582.61306246216,497.45495769794
9,3,100,17,31915.534881367057,613.7602861801357
10,3,100,19,889399.3856644682,710.3828958981375
11,3,100,2,209307.2551069837,571.8777461939445
12,3,100,20,85798.59236684782,640.2880027376704
13,3,100,21,275357.5776818188,564.2573313152025
14,3,100,22,10619.499534330842,505.69045401575437
15,3,100,23,273308.7369702582,509.9043600191384
16,3,100,24,11639.990789549114,554.2852756928149
17,3,100,25,250976.42797573155,633.7788585245746
18,3,100,26,753545.6313423403,592.8761851631316
19,3,100,27,461827.4328923261,598.9979674349236
20,3,100,28,291038.77313958015,558.6156874080233
21,3,100,29,31915.534881367057,613.7602861801357
22,3,100,3,70837.6956011795,498.85701127591193
23,3,100,30,881449.4736668532,507.747392665238
24,3,100,31,1148492.2826777415,550.5715640832893
25,3,100,32,305018.4989083389,585.4481744881745
26,3,100,33,12231.754153906306,582.4644835193479
27,3,100,34,48743.57843533975,553.904300401588
28,3,100,35,11696.186311246409,556.9612529164957
29,3,100,36,608078.2161211865,595.5712204908781
30,3,100,37,73857.48287143331,586.1704989796294
31,3,100,38,106469.54753744196,588.2295444057567
32,3,100,39,209307.2551069837,571.8777461939445
33,3,100,4,32815.73152936012,565.78847464414
34,3,100,40,85798.59236684782,640.2880027376704
35,3,100,41,889399.3856644682,710.3828958981375
36,3,100,42,889399.3856644682,710.3828958981375
37,3,100,44,332774.2121467334,543.7487126580611
38,3,100,45,81582.61306246216,497.45495769794
39,3,100,46,608078.2161211865,595.5712204908781
40,3,100,47,142381.89801425676,545.5245134645853
41,3,100,48,565695.0492214252,538.7571897346907
42,3,100,49,32815.73152936012,565.78847464414
43,3,100,5,171496.1783693021,560.4450273506604
44,3,100,50,73857.48287143331,586.1704989796294
45,3,100,51,273308.7369702582,509.9043600191384
46,3,100,52,360808.46493121143,508.180936522833
47,3,100,53,332774.2121467334,543.7487126580611
48,3,100,54,110885.99866210605,495.0267797415449
49,3,100,55,753545.6313423403,592.8761851631316
50,3,100,56,360808.46493121143,508.180936522833
51,3,100,57,11639.990789549114,554.2852756928149
52,3,100,58,171496.1783693021,560.4450273506604
53,3,100,59,73857.48287143331,586.1704989796294
